placename	month	count
gaza	2023-10	4168
gaza	2023-11	4527
gaza	2023-12	2863
gaza	2024-01	1956
gaza	2024-02	1882
gaza	2024-03	2197
gaza	2024-04	993
gaza strip	2023-10	4168
gaza strip	2023-11	4527
gaza strip	2023-12	2863
gaza strip	2024-01	1956
gaza strip	2024-02	1882
gaza strip	2024-03	2197
gaza strip	2024-04	993
gaza city	2023-10	4174
gaza city	2023-11	4529
gaza city	2023-12	2865
gaza city	2024-01	1956
gaza city	2024-02	1882
gaza city	2024-03	2199
gaza city	2024-04	993
rafah	2023-10	182
rafah	2023-11	150
rafah	2023-12	201
rafah	2024-01	41
rafah	2024-02	497
rafah	2024-03	253
rafah	2024-04	81
bayt lahya	2023-10	11
bayt lahya	2023-11	14
bayt lahya	2023-12	8
bayt lahya	2024-01	2
bayt lahya	2024-02	3
bayt lahya	2024-03	1
bayt lahya	2024-04	2
jabalya	2023-10	37
jabalya	2023-11	103
jabalya	2023-12	46
jabalya	2024-01	12
jabalya	2024-02	7
jabalya	2024-03	8
jabalya	2024-04	3
jabalia	2023-10	33
jabalia	2023-11	102
jabalia	2023-12	44
jabalia	2024-01	12
jabalia	2024-02	7
jabalia	2024-03	8
jabalia	2024-04	2
bayt hanun	2023-10	19
bayt hanun	2023-11	17
bayt hanun	2023-12	4
bayt hanun	2024-01	1
bayt hanun	2024-02	3
bayt hanun	2024-03	7
bayt hanun	2024-04	10
al-shifa hospital	2023-10	31
al-shifa hospital	2023-11	242
al-shifa hospital	2023-12	23
al-shifa hospital	2024-01	3
al-shifa hospital	2024-02	15
al-shifa hospital	2024-03	32
al-shifa hospital	2024-04	13
khan younis	2023-10	74
khan younis	2023-11	132
khan younis	2023-12	173
khan younis	2024-01	74
khan younis	2024-02	63
khan younis	2024-03	40
khan younis	2024-04	25
tunis	2023-10	3
tunis	2023-11	4
tunis	2023-12	1
al burayj	2023-10	3
al burayj	2023-11	15
al burayj	2023-12	17
al burayj	2024-01	5
al burayj	2024-02	2
al burayj	2024-03	5
bureij	2023-10	3
bureij	2023-11	15
bureij	2023-12	17
bureij	2024-01	5
bureij	2024-02	2
bureij	2024-03	5
remal	2023-10	14
remal	2023-11	3
remal	2023-12	5
remal	2024-03	3
remal	2024-04	2
deir el-balah	2023-10	38
deir el-balah	2023-11	51
deir el-balah	2023-12	45
deir el-balah	2024-01	19
deir el-balah	2024-02	31
deir el-balah	2024-03	30
deir el-balah	2024-04	12
an nusayrat	2023-10	22
an nusayrat	2023-11	16
an nusayrat	2023-12	26
an nusayrat	2024-01	11
an nusayrat	2024-02	6
an nusayrat	2024-03	9
an nusayrat	2024-04	8
nuseirat	2023-10	22
nuseirat	2023-11	16
nuseirat	2023-12	26
nuseirat	2024-01	11
nuseirat	2024-02	6
nuseirat	2024-03	9
nuseirat	2024-04	8
maghazi	2023-10	15
maghazi	2023-11	28
maghazi	2023-12	49
maghazi	2024-01	9
maghazi	2024-02	2
maghazi	2024-03	3
abu sittah	2023-10	1
abu sittah	2023-12	4
abu sittah	2024-04	4
hijazi	2023-10	2
hijazi	2023-11	2
hijazi	2023-12	1
hijazi	2024-01	1
hijazi	2024-04	2
bani suhayla	2023-10	1
bani suhayla	2023-11	1
bani suhayla	2023-12	1
bani suhayla	2024-01	2
abasan al kabirah	2023-10	4
abasan al kabirah	2023-11	5
abasan al kabirah	2023-12	4
abasan al kabirah	2024-02	1
az-zawayda	2023-10	1
az-zawayda	2023-12	1
az-zawayda	2024-02	1
az-zawayda	2024-04	1
shokat as-sufi	2023-10	1
al-mughraqa	2023-10	1
al-mughraqa	2024-01	1
abasan al-saghira	2023-10	1
abasan al-saghira	2023-11	2
qizan	2023-10	1
al-azhar university	2023-10	2
al-azhar university	2023-11	1
al-azhar university	2023-12	2
al-azhar university	2024-01	1
al-aqsa university	2023-10	1
al-aqsa university	2024-01	2
al-aqsa university	2024-02	2
bani suhela	2023-10	3
bani suhela	2023-11	5
bani suhela	2024-03	2
al qararah	2023-11	1
al qararah	2024-01	1
al qararah	2024-03	1
an nasr	2024-01	1
al mawasi	2024-01	1
al mawasi	2024-03	1
al amal	2024-01	1
al amal	2024-03	1
al mu'askar	2024-01	1
markaz al madinah	2024-01	1
hamadah	2024-02	1
