placenames	latitude	longitude
Israel	31.5	34.75
South Africa	26.5	-81
The Hague	52.07667	4.29861
the Gaza Strip	-26.25	28
Gaza	31.50161	34.46672
Khan Younis	31.34018	34.30627
Beirut	33.89332	35.50157
West Beirut	51.48653	-0.40583
Lebanon	33.83333	35.83333
Beirut Hamra	33.89332	35.50157
Hamra	31.81088	-8.27151
Jordan	31	36
Palestine	31.92157	35.20329
US	49.1	1.96667
East Beirut	37.02332	-77.36954
Al Maniya	41	20
Bethlehem	40.62593	-75.37046
WestBank	49.83521	-119.62532
Rafah	31.29722	34.24357
Deir el-Balah	31.41834	34.34933
Nuseirat	31.44861	34.3925
Bureij	31.43944	34.40306
Gaza City	31.50161	34.46672
the United States	34.31336	-79.63717
Belgium	50.75	4.5
Dahiyeh	33.8534	35.5109
West Bank	19.38197	-81.39281
United States	39.76	-98.5
Iran	32	53
Gaza Strip	31.50161	34.46672
Arura	9.8694	76.30498
the West Bank	-10.42172	105.67912
Ramallah	31.89964	35.20422
Deir Qaddis	35.33588	40.14084
China	35	105
India	22	79
Iraq	33	44
Yemen	15.5	47.5
Syria	35	38
Russia	60	100
Myanmar	21	96
The United States	34.31336	-79.63717
Washington	47.50012	-120.50147
Egypt	27	30
Philadelphi	39.9526	75.1652
London	51.50853	-0.12574
Damascus	33.5102	36.29128
Britain	54	-2
Kanaker	40.22302	44.53986
Yaroun	33.08028	35.4225
Sarit	35.47569	71.45229
Tel Aviv	32.08088	34.78057
Tehran	35.69439	51.42151
Aleppo	36.20124	37.16117
Baghdad	33.34058	44.40088
